dj	4
dj	5
dj	6
dj	7
dj	8
dj	9
dj	10
dj	11
dj	12
dj	13
dj	14
dj	15
qaoa	4
qaoa	5
qaoa	6
qaoa	7
qaoa	8
qaoa	9
qaoa	10
qaoa	11
qaoa	12
qaoa	13
qaoa	14
qaoa	15
qft	4
qft	5
qft	6
qft	7
qft	8
qft	9
qft	10
qft	11
qft	12
qft	13
qft	14
qft	15
qnn	4
qnn	5
qnn	6
qnn	7
qnn	8
qnn	9
qnn	10
qnn	11
qnn	12
qnn	13
qnn	14
qnn	15
random	4
random	5
random	6
random	7
random	8
random	9
random	10
random	11
random	12
random	13
random	14
random	15
vqe	4
vqe	5
vqe	6
vqe	7
vqe	8
vqe	9
vqe	10
vqe	11
vqe	12
vqe	13
vqe	14
vqe	15
